Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
BES-Small_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,37432.9,161657,$12K,$6.18,$0M,26 kW,508.9,19612
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Small Office,Anaheim,1,80 kWh,11 kW,61646.5,63933.9,$34K,$38.02,$0M,49 kW,43285.2,47494.1
Schedule_MDD_-_Medium_Network_General_Service,Medium Office,Seattle,1,0 kWh,0 kW,118918,632005,$18K,$4.54,$0M,41 kW,1841,30839
LGS-1_-_Large_General_Service,Small Office,LasVegas,1,2 kWh,2 kW,21832.6,51667.4,$12K,$8.57,$0M,24 kW,5271.6,18726.3
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Outpatient,Los Angeles,1,955 kWh,147 kW,519453,1337890,$454K,$17.48,$0M,690 kW,330533,830088
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Fast Food,Atlanta,1,0 kWh,0 kW,0,146315,$18K,$0.00,$0M,40 kW,0,35073
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Small Office,Boulder,1,7 kWh,1 kW,10630.9,72090.8,$13K,$4.84,$0M,26 kW,1913.06,27666
Schedule_G_-_Secondary,Large Hotel,Baltimore,1,0 kWh,0 kW,0,2759610,$245K,$0.00,$0M,549 kW,0,669620
4B_Large_Power_TOU_(PNM-Owned_Transformer),Large Office,Albuquerque,1,732 kWh,249 kW,1605050,3077640,$983K,$17.47,$0M,"1,809 kW",717056,1404200
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Outpatient,Anaheim,1,"1,123 kWh",155 kW,858507,1099300,$478K,$38.02,$0M,705 kW,538976,721591
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Large Hotel,Phoenix,1,947 kWh,169 kW,383272,2028600,$465K,$6.65,$0M,692 kW,106316,818030
GSD-1_(General_Service_Demand),Small Hotel,Miami,1,8 kWh,6 kW,194877,432512,$4K,$10.60,$0M,1 kW,6316,829
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Strip Mall,Atlanta,1,49 kWh,13 kW,157202,304740,$65K,$15.66,$0M,122 kW,33274,83273
GSEDS-1_Primary_Non-Demand,Secondary School,Helena,1,0 kWh,0 kW,0,2096260,$309K,$0.00,$0M,693 kW,0,678250
SC-9_-_General_Large_Low_Tension_Service_[NYC],Fast Food,New York,1,0 kWh,0 kW,0,223120,$23K,$21.82,$0M,51 kW,0,68879
General_Service_(A14),Small Office,Duluth,1,2 kWh,1 kW,25882.6,44333.8,$4K,$14.98,$0M,7 kW,2769.8,4655.6
BES-Medium_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,210554,966539,$84K,$6.29,$0M,188 kW,9434,140647
BES-Large_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,193662,636797,$40K,$6.73,$0M,89 kW,10718,66519
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,443467,$0K,$2.32,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Midrise Apartment,San Francisco,1,417 kWh,49 kW,66161,291120,$118K,$16.78,$0M,137 kW,45670,221064.6
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Retail Store,Anaheim,1,455 kWh,65 kW,331408,358678,$187K,$38.02,$0M,268 kW,223763,282142.5
GSEDS-1_Secondary_Demand,Hospital,Helena,1,234 kWh,122 kW,1380150,5720990,$921K,$9.41,$0M,"1,894 kW",245730,1748620
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Retail Store,LasVegas,1,203 kWh,33 kW,107169,347246,$117K,$12.47,$0M,191 kW,39210.9,194925
GSEDS-1_Secondary_Demand,Restaurant,Helena,1,4 kWh,2 kW,53323.6,230623,$31K,$9.41,$0M,68 kW,5404.8,63376
GSD-1_(General_Service_Demand),Medium Office,Miami,1,28 kWh,16 kW,286797,454376,$63K,$10.60,$0M,119 kW,46263,72674
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Office,Atlanta,1,5 kWh,2 kW,27378.6,51037.2,$5K,$15.66,$0M,9 kW,3505.3,5818.8
GSD-1_(General_Service_Demand),Supermarket,Miami,1,10 kWh,7 kW,452654,1005960,$59K,$10.60,$0M,122 kW,39817,75671
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Outpatient,San Francisco,1,"1,553 kWh",189 kW,400082,1772830,$577K,$16.78,$0M,812 kW,257672,1301954
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Fast Food,Anaheim,1,62 kWh,10 kW,70836.8,133816,$35K,$30.87,$0M,57 kW,27739,62751.5
GSEDS-1_Secondary_Demand,Supermarket,Helena,1,54 kWh,25 kW,354997,1396190,$242K,$9.41,$0M,507 kW,62609,476633
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Fast Food,Phoenix,1,46 kWh,9 kW,24959.9,145110,$32K,$6.65,$0M,55 kW,6331,62598.2
Schedule_G_-_Secondary,Warehouse,Baltimore,1,0 kWh,0 kW,0,250359,$36K,$0.00,$0M,81 kW,0,90238
BES-Large_Load_Delivery_Class_(Secondary),Large Hotel,Chicago,1,0 kWh,0 kW,351664,1461900,$0K,$6.73,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Warehouse,Albuquerque,1,0 kWh,0 kW,17314.1,127228,$30K,$17.47,$0M,67 kW,12643.25,58115.3
E-36_Standard_Price_Plan_for_General_Service,Midrise Apartment,Phoenix,1,0 kWh,0 kW,44252.8,227250,$22K,$6.76,$0M,49 kW,1826.7,46135
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Restaurant,New York,1,285 kWh,33 kW,202690,289750,$109K,$41.95,$0M,158 kW,99830,152171
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Supermarket,San Francisco,1,"1,968 kWh",252 kW,1009990,1688340,$714K,$34.72,$1M,977 kW,696477,1244956
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Large Hotel,New York,1,"2,811 kWh",347 kW,1759200,2147760,$934K,$41.95,$0M,"1,216 kW",999597,1150227
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Secondary School,New York,1,"4,315 kWh",566 kW,2974440,2287350,"$1,504K",$41.95,$1M,"1,991 kW",1966070,1717466
BES-Medium_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,43647.5,149727,$6K,$6.29,$0M,13 kW,1077.9,9787
SC-9_-_General_Large_Low_Tension_Service_[NYC],Secondary School,New York,1,0 kWh,0 kW,0,3122940,$425K,$21.82,$0M,952 kW,0,1106340
Schedule_MDC_-_Medium_Standard_General_Service_City,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,122758,$0K,$2.32,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Midrise Apartment,San Francisco,1,312 kWh,39 kW,66161,284320,$94K,$16.78,$0M,113 kW,40573.8,187806.2
3B_General_Power_TOU_(PNM-Owned_Transformer),Outpatient,Albuquerque,1,449 kWh,122 kW,444772,896443,$317K,$17.47,$0M,501 kW,249607,479521
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Secondary School,Boulder,1,361 kWh,100 kW,1287350,784612,$201K,$18.90,$0M,280 kW,277880,131152
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Retail Store,Anaheim,1,345 kWh,54 kW,128808,554336,$167K,$9.97,$0M,255 kW,72784,434906
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Medium Office,San Francisco,1,918 kWh,121 kW,290061,1001760,$348K,$16.78,$0M,486 kW,189505,742066
A-6_Small_General_Service_TOU_Single_Phase,Small Hotel,San Francisco,1,"1,309 kWh",155 kW,0,1389800,$377K,$0.00,$0M,445 kW,0,1155117
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Retail Store,San Francisco,1,484 kWh,66 kW,322454,424286,$191K,$34.72,$0M,270 kW,225895,341054
Schedule_GS_Type_2_(Secondary),Small Office,Baltimore,1,0 kWh,0 kW,0,79396.3,$11K,$0.00,$0M,25 kW,0,25366.8
Large_Light_&_Power_-_Primary_voltage_discount,Supermarket,Minneapolis,1,0 kWh,0 kW,0,1173430,$131K,$7.55,$0M,295 kW,0,222616
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Medium Office,San Francisco,1,834 kWh,113 kW,290061,1024170,$329K,$16.78,$0M,467 kW,182612,754851
BES-Small_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,177835,636797,$39K,$6.18,$0M,88 kW,9762,65734
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Medium Office,San Francisco,1,665 kWh,102 kW,384915,983643,$290K,$17.58,$0M,421 kW,213586,731292
A-6_Small_General_Service_TOU_Single_Phase,Primary School,San Francisco,1,"1,177 kWh",153 kW,0,2226570,$468K,$0.00,$1M,673 kW,0,1803318
BES-Small_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,181991,592769,$24K,$6.18,$0M,54 kW,3337,39911
Power_and_Light_Large_Schedule_PLL-11,Large Office,Atlanta,1,0 kWh,0 kW,0,3526480,$0K,$0.00,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Midrise Apartment,Minneapolis,1,0 kWh,0 kW,0,154206,$10K,$7.55,$0M,22 kW,0,16539
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Outpatient,Boulder,1,166 kWh,42 kW,603648,521219,$71K,$18.90,$0M,85 kW,86751,40468
General_Service_(A14),Strip Mall,Duluth,1,12 kWh,6 kW,149852,265183,$32K,$14.98,$0M,62 kW,15471,41823
GSEDS-1_Primary_Demand,Supermarket,Helena,1,13 kWh,10 kW,297934,1366560,$223K,$7.90,$0M,487 kW,40167,448955
Large_Light_&_Power_-_Primary_voltage_discount,Outpatient,Minneapolis,1,0 kWh,0 kW,0,912781,$59K,$7.55,$0M,133 kW,0,100604
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Midrise Apartment,Boulder,1,24 kWh,7 kW,97721.6,82082.5,$7K,$18.90,$0M,5 kW,10877.1,2254.4
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Hotel,San Francisco,1,551 kWh,77 kW,246273,762725,$195K,$17.58,$0M,254 kW,120878,449009
GSEDS-1_Primary_Demand,Hospital,Helena,1,46 kWh,37 kW,1158300,5599580,$818K,$7.90,$0M,"1,788 kW",135140,1623590
BES-Large_Load_Delivery_Class_(Secondary),Strip Mall,Chicago,1,0 kWh,0 kW,87208.4,308644,$40K,$6.73,$0M,90 kW,6045,67190
LGS-1_-_Large_General_Service,Secondary School,LasVegas,1,37 kWh,30 kW,835724,1675160,$294K,$8.57,$0M,622 kW,139998,493120
A-6_Small_General_Service_TOU_Single_Phase,Supermarket,San Francisco,1,"2,476 kWh",300 kW,0,3914570,$858K,$0.00,$1M,"1,157 kW",0,3305737
Schedule_LGC_-_Large_Standard_General_Service_City,Hospital,Seattle,1,0 kWh,0 kW,316801,4529750,$0K,$2.08,$0M,0 kW,0,0
OGS-TOU-NEM,Supermarket,LasVegas,1,0 kWh,0 kW,0,1168430,$205K,$0.00,$0M,459 kW,0,410248
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Large Office,Atlanta,1,0 kWh,0 kW,0,5348590,$658K,$0.00,$0M,"1,476 kW",0,1236960
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Fast Food,San Francisco,1,192 kWh,23 kW,41178.9,228514,$66K,$16.78,$0M,88 kW,21299.5,149570.5
Schedule_MDC_-_Medium_Standard_General_Service_City,Secondary School,Seattle,1,0 kWh,0 kW,147362,1332630,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Hospital,New York,1,"5,849 kWh",700 kW,4673850,7538580,"$2,542K",$41.95,$1M,"3,897 kW",2263400,3785180
GSEDS-1_Secondary_Demand,Fast Food,Helena,1,1 kWh,0 kW,29785.4,131794,$17K,$9.41,$0M,38 kW,1503.5,35827.5
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Secondary School,Phoenix,1,"1,403 kWh",237 kW,662596,2630070,$814K,$6.65,$0M,"1,321 kW",278586,1396760
Schedule_G_-_Secondary,Medium Office,Baltimore,1,0 kWh,0 kW,0,1030440,$133K,$0.00,$0M,298 kW,0,347576
Schedule_SMC_-_Small_General_Service_City,Small Office,Seattle,1,0 kWh,0 kW,0,58454.4,$1K,$0.00,$0M,3 kW,0,2474.4
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Large Office,San Francisco,1,"6,368 kWh",820 kW,4220360,5458470,"$2,543K",$33.72,$2M,"3,677 kW",2800130,4157590
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Fast Food,San Francisco,1,311 kWh,36 kW,0,344665,$96K,$0.00,$0M,120 kW,0,281382.3
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Medium Office,Boulder,1,49 kWh,8 kW,138498,758889,$117K,$4.84,$0M,244 kW,12437,268314
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Office,Anaheim,1,"4,588 kWh",678 kW,2600780,6888430,"$2,257K",$15.57,$2M,"3,512 kW",1329430,5252570
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,134398,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Warehouse,New York,1,253 kWh,32 kW,189270,194680,$103K,$41.95,$0M,151 kW,132126,133360.4
BES-Large_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,198188,592769,$27K,$6.73,$0M,60 kW,3936,43920
GSLD-1_(General_Service_Large_Demand),Secondary School,Miami,1,201 kWh,83 kW,1604240,1651320,$284K,$12.56,$0M,513 kW,283910,282370
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Medium Office,Los Angeles,1,558 kWh,92 kW,344496,736716,$278K,$17.48,$0M,424 kW,226334,488124
SC-9_-_General_Large_Low_Tension_Service_[NYC],Outpatient,New York,1,0 kWh,0 kW,0,1878060,$228K,$21.82,$0M,511 kW,0,667770
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Hospital,Phoenix,1,0 kWh,0 kW,446054,4863880,$835K,$4.12,$0M,"1,872 kW",48632,1598860
General_Service_(A14),Secondary School,Duluth,1,58 kWh,23 kW,829674,1235180,$127K,$14.98,$0M,250 kW,90199,160390
GSEDS-1_Primary_Non-Demand,Large Hotel,Helena,1,0 kWh,0 kW,0,1997290,$175K,$0.00,$0M,393 kW,0,442230
Schedule_SMC_-_Small_General_Service_City,Fast Food,Seattle,1,0 kWh,0 kW,0,135037,$14K,$0.00,$0M,31 kW,0,24205
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Primary School,Atlanta,1,86 kWh,24 kW,358038,640590,$78K,$15.66,$0M,133 kW,57729,91637
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Primary School,Boulder,1,134 kWh,36 kW,473343,327273,$79K,$18.90,$0M,114 kW,102735,54256
BES-Small_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1024650,3877110,$245K,$6.18,$0M,549 kW,44531,403660
3B_General_Power_TOU_(PNM-Owned_Transformer),Small Hotel,Albuquerque,1,251 kWh,76 kW,140070,381451,$128K,$17.47,$0M,162 kW,105029.2,159021
GSEDS-1_Primary_Demand,Primary School,Helena,1,4 kWh,3 kW,201502,690168,$91K,$7.90,$0M,200 kW,31733,166179
GSEDS-1_Secondary_Demand,Secondary School,Helena,1,106 kWh,46 kW,630089,1671580,$304K,$9.41,$0M,614 kW,146844,497620
GS-2_(S)_Large_General_Service_Secondary,Large Hotel,Fairbanks,1,"1,322 kWh",193 kW,506617,3511270,$599K,$11.06,$0M,899 kW,185866,1173570
GS-2_(S)_Large_General_Service_Secondary,Small Hotel,Fairbanks,1,416 kWh,60 kW,186855,1338220,$191K,$11.06,$0M,290 kW,59543,381023
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Retail Store,Anaheim,1,350 kWh,54 kW,273816,368391,$165K,$30.87,$0M,248 kW,167927,270283.8
LGS-1_-_Large_General_Service,Restaurant,LasVegas,1,0 kWh,0 kW,58146.6,199867,$29K,$8.57,$0M,64 kW,1260.2,57666
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Secondary School,Anaheim,1,"1,588 kWh",250 kW,1394070,2340960,$819K,$16.23,$1M,"1,283 kW",750811,1629268
Schedule_G_-_Secondary,Small Office,Baltimore,1,0 kWh,0 kW,0,93798,$13K,$0.00,$0M,30 kW,0,33119.5
Schedule_MDD_-_Medium_Network_General_Service,Secondary School,Seattle,1,0 kWh,0 kW,288372,1642590,$95K,$4.54,$0M,212 kW,20775,156690
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Hotel,Atlanta,1,0 kWh,0 kW,0,594299,$54K,$0.00,$0M,122 kW,0,106029
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Hotel,Phoenix,1,253 kWh,46 kW,106889,589592,$133K,$6.65,$0M,203 kW,29247.9,238741
BES-Medium_Load_Delivery_Class_(Secondary),Strip Mall,Chicago,1,0 kWh,0 kW,81506.8,308644,$40K,$6.29,$0M,90 kW,5639,66990
Small_General_Service_Metered_(A10),Warehouse,Duluth,1,0 kWh,0 kW,0,240773,$34K,$0.00,$0M,76 kW,0,74052
Schedule_G_-_Secondary,Large Office,Baltimore,1,0 kWh,0 kW,0,7447200,"$1,060K",$0.00,$1M,"2,377 kW",0,2775210
Schedule_MDC_-_Medium_Standard_General_Service_City,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,266096,$0K,$2.32,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Large Office,Minneapolis,1,0 kWh,0 kW,946357,4528380,$653K,$5.86,$0M,"1,466 kW",103515,1229340
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Office,Atlanta,1,0 kWh,0 kW,0,69285.7,$6K,$0.00,$0M,14 kW,0,11872.4
Small_General_Time-of-Day_Service_(A12),Small Office,Duluth,1,0 kWh,0 kW,0,85085.8,$13K,$0.00,$0M,29 kW,0,34806.1
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Midrise Apartment,Anaheim,1,163 kWh,25 kW,71504.3,228402,$64K,$13.20,$0M,87 kW,33703.4,133908.8
E-36_Standard_Price_Plan_for_General_Service,Secondary School,Phoenix,1,0 kWh,0 kW,556743,2104310,$332K,$6.76,$0M,744 kW,92514,641150
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Strip Mall,Phoenix,1,227 kWh,41 kW,101363,417930,$140K,$6.65,$0M,230 kW,46473.2,259740
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,561360,$0K,$2.32,$0M,0 kW,0,0
GSDT-1_(General_Service_Demand_-Time-Of-Use),Outpatient,Miami,1,60 kWh,21 kW,402650,854257,$70K,$9.20,$0M,125 kW,51403,79249
Schedule_GL_(Secondary_Voltage),Medium Office,Baltimore,1,0 kWh,0 kW,182440,694358,$101K,$6.15,$0M,227 kW,11389,192540
GSEDS-1_Primary_Non-Demand,Medium Office,Helena,1,0 kWh,0 kW,0,827492,$111K,$0.00,$0M,248 kW,0,253614
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Restaurant,LasVegas,1,77 kWh,12 kW,52294,215992,$51K,$12.47,$0M,87 kW,10452,88072
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,134034,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Secondary School,Seattle,1,0 kWh,0 kW,147362,1455040,$0K,$2.32,$0M,0 kW,0,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Large Office,Los Angeles,1,"4,578 kWh",679 kW,2577220,5797630,"$2,221K",$17.48,$1M,"3,431 kW",1638649,3989930
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Outpatient,Anaheim,1,556 kWh,95 kW,384565,1477850,$360K,$11.05,$0M,605 kW,166788,902633
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Medium Office,Phoenix,1,460 kWh,79 kW,176085,722767,$250K,$6.65,$0M,392 kW,93836.1,429504
A-6_Small_General_Service_TOU_Single_Phase,Fast Food,San Francisco,1,303 kWh,35 kW,0,370687,$92K,$0.00,$0M,115 kW,0,308130.2
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Large Office,Boulder,1,362 kWh,141 kW,2619570,1968940,$280K,$18.90,$0M,413 kW,368180,196860
GSEDS-1_Primary_Non-Demand,Hospital,Helena,1,0 kWh,0 kW,0,7174430,$889K,$0.00,$0M,"1,995 kW",0,2249060
SC-9_-_General_Large_Low_Tension_Service_[NYC],Midrise Apartment,New York,1,0 kWh,0 kW,0,316142,$26K,$21.82,$0M,58 kW,0,73515
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Hotel,Anaheim,1,339 kWh,56 kW,198144,658171,$155K,$13.20,$0M,226 kW,73483,345031
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Office,Anaheim,1,55 kWh,8 kW,31633.6,89013.7,$29K,$13.20,$0M,46 kW,17549.3,66109.2
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Supermarket,Anaheim,1,"1,280 kWh",187 kW,950263,1368300,$567K,$38.02,$0M,841 kW,537758,892591
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Supermarket,New York,1,"2,047 kWh",247 kW,1290670,1710870,$793K,$41.95,$0M,"1,144 kW",816823,1097963
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Primary School,San Francisco,1,"1,049 kWh",121 kW,761166,949958,$403K,$34.72,$0M,585 kW,488234,677286
GSEDS-1_Secondary_Non-Demand,Primary School,Helena,1,0 kWh,0 kW,0,1036240,$141K,$0.00,$0M,316 kW,0,355075
Schedule_G_-_Secondary,Outpatient,Baltimore,1,0 kWh,0 kW,0,1768540,$219K,$0.00,$0M,491 kW,0,609100
Small_General_Service_Metered_(A10),Strip Mall,Duluth,1,0 kWh,0 kW,0,472395,$70K,$0.00,$0M,156 kW,0,174920
Power_and_Light_Medium_Schedule_PLM-11,Medium Office,Atlanta,1,0 kWh,0 kW,0,402890,$0K,$0.00,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Midrise Apartment,San Francisco,1,286 kWh,38 kW,138473,204225,$88K,$34.72,$0M,104 kW,91779.5,127713
E-36_Standard_Price_Plan_for_General_Service,Medium Office,Phoenix,1,0 kWh,0 kW,147275,603590,$113K,$6.76,$0M,254 kW,28304,224350
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Secondary School,Seattle,1,0 kWh,0 kW,147362,1458990,$0K,$2.32,$0M,0 kW,0,0
Power_and_Light_Large_Schedule_PLL-11,Large Hotel,Atlanta,1,0 kWh,0 kW,0,1335720,$0K,$0.00,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Secondary School,Helena,1,20 kWh,16 kW,528807,1636110,$238K,$7.90,$0M,513 kW,92671,414150
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Large Office,New York,1,"7,742 kWh",853 kW,5300040,5793530,"$3,003K",$41.95,$2M,"4,425 kW",3333070,3947110
BES-Small_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,42884.2,149727,$6K,$6.18,$0M,13 kW,1059,9787
GSEDS-1_Secondary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,193680,$20K,$0.00,$0M,46 kW,0,59436
General_Service_With_Demand_Meter_(Rate_Code_25),Restaurant,Minneapolis,1,0 kWh,0 kW,34934.7,237610,$28K,$5.86,$0M,62 kW,1227.4,56643
GS-2_(S)_Large_General_Service_Secondary,Warehouse,Fairbanks,1,167 kWh,25 kW,80198.2,458799,$94K,$11.06,$0M,154 kW,29022.9,194647
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Medium Office,Anaheim,1,523 kWh,89 kW,405626,732000,$268K,$17.81,$0M,411 kW,207762,522838
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Large Office,Phoenix,1,"2,264 kWh",399 kW,1064400,5036200,"$1,547K",$6.65,$0M,"2,636 kW",458216,2800980
BES-Medium_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,524032,1563540,$90K,$6.29,$0M,203 kW,30303,149330
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Warehouse,Phoenix,1,69 kWh,14 kW,42083.6,164531,$51K,$6.65,$0M,88 kW,18917.3,89522.9
GS-1_General_Service,Small Office,Fairbanks,1,0 kWh,0 kW,0,136771,$15K,$0.00,$0M,33 kW,0,39963.5
Schedule_MDC_-_Medium_Standard_General_Service_City,Primary School,Seattle,1,0 kWh,0 kW,58053.5,574095,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,146486,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,138485,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Warehouse,Boulder,1,15 kWh,6 kW,114534,78289.3,$10K,$18.90,$0M,12 kW,11627,5718.7
A-6_Small_General_Service_TOU_Single_Phase,Secondary School,San Francisco,1,"2,689 kWh",358 kW,0,5235560,"$1,093K",$0.00,$2M,"1,584 kW",0,4260071
2B_Small_Power_Service_-_TOU,Small Office,Albuquerque,1,58 kWh,8 kW,0,117324,$28K,$0.00,$0M,43 kW,0,91677.4
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Office,Albuquerque,1,"1,691 kWh",386 kW,2185310,3612250,"$1,287K",$17.47,$0M,"2,171 kW",879860,1998710
GSEDS-1_Primary_Demand,Small Office,Helena,1,0 kWh,0 kW,16684,58443,$9K,$7.90,$0M,20 kW,2328.9,15877.5
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Supermarket,San Francisco,1,"2,349 kWh",279 kW,471299,2346650,$811K,$16.78,$1M,"1,098 kW",319034,1826784
GSEDS-1_Secondary_Non-Demand,Outpatient,Helena,1,0 kWh,0 kW,0,1634090,$202K,$0.00,$0M,453 kW,0,567050
