Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Strip Mall,New York,1,744 kWh,90 kW,420783,427744,$260K,$41.95,$0M,354 kW,307450,335787.4
GSEDS-1_Primary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,224656,$18K,$0.00,$0M,40 kW,0,45395
GSDT-1_(General_Service_Demand_-Time-Of-Use),Primary School,Miami,1,107 kWh,38 kW,429874,668922,$110K,$9.20,$0M,188 kW,98419,118966
GS-2_(S)_Large_General_Service_Secondary,Restaurant,Fairbanks,1,79 kWh,13 kW,57532.3,506590,$64K,$11.06,$0M,116 kW,13620.5,155573
Large_Light_&_Power_-_Primary_voltage_discount,Medium Office,Minneapolis,1,0 kWh,0 kW,0,580114,$11K,$7.55,$0M,25 kW,0,18974
Power_and_Light_Medium_Schedule_PLM-11,Strip Mall,Atlanta,1,0 kWh,0 kW,0,229645,$0K,$0.00,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Primary School,Helena,1,0 kWh,0 kW,0,884274,$124K,$0.00,$0M,277 kW,0,275541
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,290537,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Fast Food,Helena,1,0 kWh,0 kW,24997.6,128997,$17K,$7.90,$0M,37 kW,1133.6,34502.1
A-6_Small_General_Service_TOU_Single_Phase,Large Office,San Francisco,1,"7,466 kWh",946 kW,0,13741400,"$2,906K",$0.00,$4M,"4,159 kW",0,11650990
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Strip Mall,San Francisco,1,483 kWh,66 kW,152863,578552,$193K,$16.78,$0M,275 kW,104466.4,458039
Schedule_GL_(Secondary_Voltage),Supermarket,Baltimore,1,0 kWh,0 kW,251186,1479440,$217K,$6.15,$0M,488 kW,28994,455020
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Primary School,Seattle,1,0 kWh,0 kW,58053.5,626827,$0K,$2.32,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Primary School,San Francisco,1,"1,025 kWh",123 kW,355228,1310060,$412K,$16.78,$0M,608 kW,222122,953083
BES-Large_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,270862,1233140,$161K,$6.73,$0M,360 kW,24897,270127
Power_and_Light_Medium_Schedule_PLM-11,Warehouse,Atlanta,1,0 kWh,0 kW,0,96680.3,$0K,$0.00,$0M,0 kW,0,0
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Secondary School,San Francisco,1,"2,225 kWh",293 kW,1947430,2090720,$906K,$33.72,$1M,"1,317 kW",1193813,1465862
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Supermarket,Atlanta,1,29 kWh,13 kW,454779,1155560,$155K,$15.66,$0M,329 kW,63831,219413
BES-Large_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,106246,462529,$0K,$6.73,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Supermarket,Anaheim,1,"1,070 kWh",168 kW,917052,1321010,$521K,$34.91,$0M,795 kW,475294,823968
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Large Hotel,San Francisco,1,"1,920 kWh",271 kW,804572,2429340,$661K,$17.58,$1M,846 kW,409082,1479162
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Restaurant,Boulder,1,20 kWh,4 kW,28892.4,291469,$38K,$4.84,$0M,78 kW,3485.6,96048
Schedule_GL_(Secondary_Voltage),Secondary School,Baltimore,1,0 kWh,0 kW,549392,1999390,$289K,$6.15,$0M,647 kW,80099,530120
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Retail Store,Anaheim,1,336 kWh,54 kW,170539,498369,$164K,$13.20,$0M,249 kW,95943,388611
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Supermarket,Anaheim,1,673 kWh,112 kW,408262,1846380,$427K,$11.05,$0M,718 kW,157635,1117792
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Hospital,Atlanta,1,143 kWh,59 kW,1700510,4840090,$375K,$15.66,$0M,753 kW,165750,506090
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Medium Office,Anaheim,1,480 kWh,79 kW,251665,855019,$260K,$11.05,$0M,412 kW,121126,596207
BES-Small_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,97563.3,462529,$0K,$6.18,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Midrise Apartment,Anaheim,1,176 kWh,26 kW,54007.4,256311,$67K,$9.97,$0M,92 kW,26216.6,152999
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Supermarket,Phoenix,1,591 kWh,107 kW,260188,1393910,$385K,$6.65,$0M,643 kW,99546,733599
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Retail Store,Atlanta,1,53 kWh,15 kW,160886,313579,$67K,$15.66,$0M,124 kW,35095,85141
