Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),kWh Savings ($),$0.00,289859.98
4B_Large_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,815437.5
3B_General_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,459880.057142857
2B_Small_Power_Service_-_TOU,kWh Savings ($),$0.00,76360.8
2A_(Small_Power_Service),kWh Savings ($),$0.00,38947.6
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Demand Charge Savings ($),$16.23,651211.25
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Demand Charge Savings ($),$38.02,194055.75
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Demand Charge Savings ($),$15.57,673159.25
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Demand Charge Savings ($),$36.38,344966
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Demand Charge Savings ($),$11.05,123836.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Demand Charge Savings ($),$34.91,348475.5
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Demand Charge Savings ($),$17.81,219777.25
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Demand Charge Savings ($),$9.97,27861.925
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Demand Charge Savings ($),$30.87,71447.4875
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Demand Charge Savings ($),$13.20,38103
Small_General_Time-of-Day_Service_(A12),Demand Charge Savings ($),$0.00,0
Small_General_Service_Time-Of-Use_(A-1)(B),Demand Charge Savings ($),$7.48,8880.26
Small_General_Service_Metered_(A10),Demand Charge Savings ($),$0.00,0
Small_General_Service_(A-1)(A),Demand Charge Savings ($),$7.48,4993.1
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Demand Charge Savings ($),$4.84,6815.394166667
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Demand Charge Savings ($),$18.90,44418.48125
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Demand Charge Savings ($),$15.66,17728.48125
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Demand Charge Savings ($),$0.00,0
Schedule_SMC_-_Small_General_Service_City,Demand Charge Savings ($),$0.00,0
Schedule_P,Demand Charge Savings ($),$5.31,60931.5
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Demand Charge Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Demand Charge Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Demand Charge Savings ($),$4.54,3258.316666667
Schedule_MDC_-_Medium_Standard_General_Service_City,Demand Charge Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Demand Charge Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Demand Charge Savings ($),$3.83,6155.5
Schedule_LGC_-_Large_Standard_General_Service_City,Demand Charge Savings ($),$2.08,0
