Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Schedule_MDC_-_Medium_Standard_General_Service_City,NPV ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,NPV ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),NPV ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,NPV ($),$2.08,0
Schedule_GS_Type_2_(Secondary),NPV ($),$0.00,2205.2
Schedule_GL_(Secondary_Voltage),NPV ($),$6.15,8627
Schedule_G_-_Secondary,NPV ($),$0.00,897832.2
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],NPV ($),$41.95,1403312.1
SC-9_-_General_Large_TOD_Service_[NYC],NPV ($),$54.31,1109700
SC-9_-_General_Large_Low_Tension_Service_[NYC],NPV ($),$21.82,547142.9
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),NPV ($),$17.48,1840595
Power_and_Light_Medium_Schedule_PLM-11,NPV ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,NPV ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,NPV ($),$12.47,16832.3
OGS-TOU-NEM,NPV ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),NPV ($),$16.30,6590
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,NPV ($),$16.49,5204
LGS-1_-_Large_General_Service,NPV ($),$8.57,15168
Large_Light_&_Power_-_Primary_voltage_discount,NPV ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),NPV ($),$12.56,0
GSEDS-1_Secondary_Non-Demand,NPV ($),$0.00,796317.8
GSEDS-1_Secondary_Demand,NPV ($),$9.41,40441
GSEDS-1_Primary_Non-Demand,NPV ($),$0.00,205139.4
GSEDS-1_Primary_Demand,NPV ($),$7.90,19017.9
GSDT-1_(General_Service_Demand_-Time-Of-Use),NPV ($),$9.20,77
GSD-1_(General_Service_Demand),NPV ($),$10.60,439
GS-2_(S)_Large_General_Service_Secondary,NPV ($),$11.06,1707220
GS-1_General_Service,NPV ($),$0.00,12507.4
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),NPV ($),$11.00,270
General_Service_With_Demand_Meter_(Rate_Code_25),NPV ($),$5.86,1473
General_Service_(A14),NPV ($),$14.98,943
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,NPV ($),$4.12,0
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,NPV ($),$4.16,0
E-36_Standard_Price_Plan_for_General_Service,NPV ($),$6.76,34789.8
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,NPV ($),$6.65,168349.6
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),NPV ($),$33.72,1612750
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),NPV ($),$17.58,236940
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),NPV ($),$17.58,1456003.8
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),NPV ($),$34.72,914008.6
BES-Small_Load_Delivery_Class_(Secondary),NPV ($),$6.18,0
BES-Medium_Load_Delivery_Class_(Secondary),NPV ($),$6.29,0
BES-Large_Load_Delivery_Class_(Secondary),NPV ($),$6.73,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),NPV ($),$16.78,1198643.2
A-10_Medium_General_Demand_Service_(Secondary_Voltage),NPV ($),$16.78,1033329.4
A-6_Small_General_Service_TOU_Single_Phase,NPV ($),$0.00,10912359
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),NPV ($),$0.00,216251.3
4B_Large_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,47620
3B_General_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,240718.1
2B_Small_Power_Service_-_TOU,NPV ($),$0.00,19410.4
2A_(Small_Power_Service),NPV ($),$0.00,4956
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Capital Cost ($),$16.23,4187558
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Capital Cost ($),$38.02,1713240.7
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Capital Cost ($),$15.57,4594867
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Capital Cost ($),$36.38,864962
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Capital Cost ($),$11.05,1073723
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Capital Cost ($),$34.91,1074093
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Capital Cost ($),$17.81,1181186
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Capital Cost ($),$9.97,512417
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Capital Cost ($),$30.87,484073.7
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Capital Cost ($),$13.20,535140.9
Small_General_Time-of-Day_Service_(A12),Capital Cost ($),$0.00,14782.9
Small_General_Service_Time-Of-Use_(A-1)(B),Capital Cost ($),$7.48,20645.2
Small_General_Service_Metered_(A10),Capital Cost ($),$0.00,2251893.7
Small_General_Service_(A-1)(A),Capital Cost ($),$7.48,19180.4
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Capital Cost ($),$4.84,987849.66
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Capital Cost ($),$18.90,66029.096
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Capital Cost ($),$15.66,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Capital Cost ($),$0.00,0
Schedule_SMC_-_Small_General_Service_City,Capital Cost ($),$0.00,0
Schedule_P,Capital Cost ($),$5.31,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Capital Cost ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Capital Cost ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Capital Cost ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Capital Cost ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Capital Cost ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Capital Cost ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,Capital Cost ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Capital Cost ($),$0.00,26250.08
Schedule_GL_(Secondary_Voltage),Capital Cost ($),$6.15,183068.785
Schedule_G_-_Secondary,Capital Cost ($),$0.00,4086075.7
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Capital Cost ($),$41.95,6020637
SC-9_-_General_Large_TOD_Service_[NYC],Capital Cost ($),$54.31,3568240
SC-9_-_General_Large_Low_Tension_Service_[NYC],Capital Cost ($),$21.82,2052448.9
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Capital Cost ($),$17.48,4862681.7
Power_and_Light_Medium_Schedule_PLM-11,Capital Cost ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Capital Cost ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Capital Cost ($),$12.47,457270.11
OGS-TOU-NEM,Capital Cost ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Capital Cost ($),$16.30,201198.8
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Capital Cost ($),$16.49,99267.96
LGS-1_-_Large_General_Service,Capital Cost ($),$8.57,187020.126
Large_Light_&_Power_-_Primary_voltage_discount,Capital Cost ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Capital Cost ($),$12.56,0
GSEDS-1_Secondary_Non-Demand,Capital Cost ($),$0.00,3666756.71
GSEDS-1_Secondary_Demand,Capital Cost ($),$9.41,518164.71
GSEDS-1_Primary_Non-Demand,Capital Cost ($),$0.00,2435654.29
GSEDS-1_Primary_Demand,Capital Cost ($),$7.90,247564.181
GSDT-1_(General_Service_Demand_-Time-Of-Use),Capital Cost ($),$9.20,2923.6
GSD-1_(General_Service_Demand),Capital Cost ($),$10.60,7940.124
GS-2_(S)_Large_General_Service_Secondary,Capital Cost ($),$11.06,4821262.6
GS-1_General_Service,Capital Cost ($),$0.00,43221
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Capital Cost ($),$11.00,16823.2
General_Service_With_Demand_Meter_(Rate_Code_25),Capital Cost ($),$5.86,57083.4
General_Service_(A14),Capital Cost ($),$14.98,13624.16
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Capital Cost ($),$4.12,0
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Capital Cost ($),$4.16,0
E-36_Standard_Price_Plan_for_General_Service,Capital Cost ($),$6.76,657994.322
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Capital Cost ($),$6.65,2221422.12
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Capital Cost ($),$33.72,3995690
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Capital Cost ($),$17.58,397346
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Capital Cost ($),$17.58,1972527.9
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Capital Cost ($),$34.72,1955534
BES-Small_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.18,0
BES-Medium_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.29,0
BES-Large_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.73,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Capital Cost ($),$16.78,1576618.1
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Capital Cost ($),$16.78,1477301
A-6_Small_General_Service_TOU_Single_Phase,Capital Cost ($),$0.00,8043032.1
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Capital Cost ($),$0.00,184761.9
4B_Large_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,442942.3
3B_General_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,1795559.18
2B_Small_Power_Service_-_TOU,Capital Cost ($),$0.00,21389.9
2A_(Small_Power_Service),Capital Cost ($),$0.00,15457
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Battery Power (kW),$16.23,74.1893
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Battery Power (kW),$38.02,16.888044167
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Battery Power (kW),$15.57,94.727875
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Battery Power (kW),$36.38,24.889425
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Battery Power (kW),$11.05,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Battery Power (kW),$34.91,27.551225
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Battery Power (kW),$17.81,22.75725
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Battery Power (kW),$9.97,0.103569625
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Battery Power (kW),$30.87,4.9359975
