Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
BES-Small_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,13858.4,52498.7,$0K,$6.18,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Warehouse,Minneapolis,1,0 kWh,0 kW,0,143801,$0K,$7.55,$0M,0 kW,0,0
BES-Medium_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,181001,636797,$10K,$6.29,$0M,18 kW,3548,13859
Schedule_MDD_-_Medium_Network_General_Service,Strip Mall,Seattle,1,0 kWh,0 kW,51286.8,331303,$0K,$4.54,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Outpatient,San Francisco,1,114 kWh,34 kW,400082,1772830,$294K,$16.78,$0M,454 kW,111324,762430
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Outpatient,LasVegas,1,0 kWh,0 kW,343823,881705,$136K,$16.49,$0M,247 kW,37083,206264
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Medium Office,San Francisco,1,197 kWh,58 kW,384915,983643,$251K,$17.58,$0M,318 kW,145274,586785
Schedule_GL_(Secondary_Voltage),Restaurant,Baltimore,1,0 kWh,0 kW,38493.1,249737,$31K,$6.15,$0M,56 kW,1466.7,54087
Schedule_MDC_-_Medium_Standard_General_Service_City,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,512744,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Warehouse,Boulder,1,0 kWh,0 kW,114534,78289.3,$0K,$18.90,$0M,0 kW,310,82.4
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Strip Mall,Seattle,1,0 kWh,0 kW,26208.2,294270,$0K,$2.32,$0M,0 kW,0,0
Power_and_Light_Large_Schedule_PLL-11,Large Hotel,Atlanta,1,0 kWh,0 kW,0,1335720,$0K,$0.00,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Strip Mall,Boulder,1,0 kWh,0 kW,60066.8,418864,$75K,$4.84,$0M,137 kW,5572.4,168536
A-6_Small_General_Service_TOU_Single_Phase,Fast Food,San Francisco,1,53 kWh,9 kW,0,370687,$50K,$0.00,$0M,62 kW,0,191096
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Strip Mall,San Francisco,1,43 kWh,13 kW,152863,578552,$112K,$16.78,$0M,173 kW,45603,299175
SC-9_-_General_Large_Low_Tension_Service_[NYC],Warehouse,New York,1,0 kWh,0 kW,0,265798,$41K,$21.82,$0M,75 kW,0,91416
BES-Large_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,198188,592769,$0K,$6.73,$0M,0 kW,0,0
Schedule_G_-_Secondary,Strip Mall,Baltimore,1,0 kWh,0 kW,0,549816,$89K,$0.00,$0M,162 kW,0,213316
Power_and_Light_Large_Schedule_PLL-11,Large Office,Atlanta,1,0 kWh,0 kW,0,3526480,$0K,$0.00,$0M,0 kW,0,0
BES-Medium_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,185231,592769,$0K,$6.29,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Outpatient,Miami,1,0 kWh,0 kW,408601,858337,$12K,$10.60,$0M,22 kW,8473,13511
Power_and_Light_Medium_Schedule_PLM-11,Outpatient,Atlanta,1,0 kWh,0 kW,0,725026,$0K,$0.00,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Supermarket,Atlanta,1,0 kWh,0 kW,0,1589620,$0K,$0.00,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Retail Store,Fairbanks,1,1 kWh,1 kW,141744,922878,$122K,$11.06,$0M,221 kW,14061,310655
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,29 kWh,23 kW,638342,1224780,$176K,$17.47,$0M,281 kW,33529,284806
GSEDS-1_Primary_Demand,Small Hotel,Helena,1,0 kWh,0 kW,119920,506470,$46K,$7.90,$0M,85 kW,0,79870
GSD-1_(General_Service_Demand),Midrise Apartment,Miami,1,0 kWh,0 kW,97807.7,189076,$0K,$10.60,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Supermarket,Fairbanks,1,3 kWh,2 kW,412645,3272480,$362K,$11.06,$0M,655 kW,48235,924430
GSLD-1_(General_Service_Large_Demand),Secondary School,Miami,1,0 kWh,0 kW,1604240,1651320,$116K,$12.56,$0M,210 kW,94490,118320
GSEDS-1_Secondary_Demand,Small Hotel,Helena,1,0 kWh,0 kW,142888,517452,$49K,$9.41,$0M,88 kW,0,85017
Schedule_MDB-_Medium_Standard_General_Service_Burien,Strip Mall,Seattle,1,0 kWh,0 kW,26208.2,284315,$0K,$2.32,$0M,0 kW,0,0
