Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Schedule_MDD_-_Medium_Network_General_Service,kWh Savings ($),$4.54,95230.333333333
Schedule_MDC_-_Medium_Standard_General_Service_City,kWh Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,kWh Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),kWh Savings ($),$3.83,647090
Schedule_LGC_-_Large_Standard_General_Service_City,kWh Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),kWh Savings ($),$0.00,38247.9
Schedule_GL_(Secondary_Voltage),kWh Savings ($),$6.15,216115.666666667
Schedule_G_-_Secondary,kWh Savings ($),$0.00,673084.15625
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],kWh Savings ($),$41.95,952005.96875
SC-9_-_General_Large_TOD_Service_[NYC],kWh Savings ($),$54.31,4114960
SC-9_-_General_Large_Low_Tension_Service_[NYC],kWh Savings ($),$21.82,383409.264285714
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),kWh Savings ($),$17.48,998358.566666667
Power_and_Light_Medium_Schedule_PLM-11,kWh Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,kWh Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,kWh Savings ($),$12.47,488535.71875
OGS-TOU-NEM,kWh Savings ($),$0.00,349691.80625
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),kWh Savings ($),$16.30,1002743.33333333
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,kWh Savings ($),$16.49,257261.6
LGS-1_-_Large_General_Service,kWh Savings ($),$8.57,339497.16875
Large_Light_&_Power_-_Primary_voltage_discount,kWh Savings ($),$7.55,114424.3
GSLD-1_(General_Service_Large_Demand),kWh Savings ($),$12.56,155853.333333333
GSEDS-1_Secondary_Non-Demand,kWh Savings ($),$0.00,600715.3875
GSEDS-1_Secondary_Demand,kWh Savings ($),$9.41,366114.98125
GSEDS-1_Primary_Non-Demand,kWh Savings ($),$0.00,481625.48125
GSEDS-1_Primary_Demand,kWh Savings ($),$7.90,331081.6625
GSDT-1_(General_Service_Demand_-Time-Of-Use),kWh Savings ($),$9.20,39115.308333333
GSD-1_(General_Service_Demand),kWh Savings ($),$10.60,37292.266666667
GS-2_(S)_Large_General_Service_Secondary,kWh Savings ($),$11.06,1084919.15625
GS-1_General_Service,kWh Savings ($),$0.00,55562.25
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),kWh Savings ($),$11.00,155103.333333333
General_Service_With_Demand_Meter_(Rate_Code_25),kWh Savings ($),$5.86,321623.975
General_Service_(A14),kWh Savings ($),$14.98,42358.935714286
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,kWh Savings ($),$4.12,1423125
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,kWh Savings ($),$4.16,1480015
E-36_Standard_Price_Plan_for_General_Service,kWh Savings ($),$6.76,418964.5375
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,kWh Savings ($),$6.65,711975.10625
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),kWh Savings ($),$33.72,3284934
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),kWh Savings ($),$17.58,1479162
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),kWh Savings ($),$17.58,542664.708333333
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),kWh Savings ($),$34.72,418978.908333333
BES-Small_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.18,141567.1625
BES-Medium_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.29,141861.7875
BES-Large_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.73,145051.725
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),kWh Savings ($),$16.78,585279.791666667
A-10_Medium_General_Demand_Service_(Secondary_Voltage),kWh Savings ($),$16.78,611846.55
