midpoint_data
Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
GSEDS-1_Secondary_Demand,kWh Savings ($),$9.41,244703.16875
GSEDS-1_Primary_Non-Demand,kWh Savings ($),$0.00,410798.91875
GSEDS-1_Primary_Demand,kWh Savings ($),$7.90,219954.54375
GSDT-1_(General_Service_Demand_-Time-Of-Use),kWh Savings ($),$9.20,10623.608333333
GSD-1_(General_Service_Demand),kWh Savings ($),$10.60,11893.575
GS-2_(S)_Large_General_Service_Secondary,kWh Savings ($),$11.06,712357
GS-1_General_Service,kWh Savings ($),$0.00,50556
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),kWh Savings ($),$11.00,57496.666666667
General_Service_With_Demand_Meter_(Rate_Code_25),kWh Savings ($),$5.86,206544.10625
General_Service_(A14),kWh Savings ($),$14.98,8146.428571429
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,kWh Savings ($),$4.12,306440
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,kWh Savings ($),$4.16,566070
E-36_Standard_Price_Plan_for_General_Service,kWh Savings ($),$6.76,316955.29375
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,kWh Savings ($),$6.65,434560.18125
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),kWh Savings ($),$33.72,2279923.33333333
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),kWh Savings ($),$17.58,1028570
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),kWh Savings ($),$17.58,419513.375
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),kWh Savings ($),$34.72,285478.341666667
BES-Small_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.18,7459.9375
BES-Medium_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.29,7459.9375
BES-Large_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.73,7510.9375
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),kWh Savings ($),$16.78,372613.775
A-10_Medium_General_Demand_Service_(Secondary_Voltage),kWh Savings ($),$16.78,335674.583333333
A-6_Small_General_Service_TOU_Single_Phase,kWh Savings ($),$0.00,2148232.85625
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),kWh Savings ($),$0.00,132685.48
4B_Large_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,542813.25
3B_General_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,399200.45
2B_Small_Power_Service_-_TOU,kWh Savings ($),$0.00,67677.2
2A_(Small_Power_Service),kWh Savings ($),$0.00,36947.9
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Demand Charge Savings ($),$16.23,465188.75
