Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Schedule_G_-_Secondary,Restaurant,Baltimore,1,0 kWh,0 kW,0,372449,$45K,$0.00,$0M,66 kW,0,92052
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Office,Atlanta,1,0 kWh,0 kW,0,69285.7,$0K,$0.00,$0M,0 kW,0,-3
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Hospital,Miami,1,0 kWh,0 kW,2135000,4057890,$0K,$11.00,$0M,0 kW,0,0
BES-Small_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,13858.4,52498.7,$0K,$6.18,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Primary School,San Francisco,1,111 kWh,20 kW,0,2226570,$334K,$0.00,$0M,433 kW,0,1209830
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,914076,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,0 kWh,0 kW,638342,1224780,$0K,$17.47,$0M,0 kW,0,0
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Retail Store,Phoenix,1,0 kWh,0 kW,100960,421782,$80K,$6.65,$0M,118 kW,15098.2,125401
GSEDS-1_Secondary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,193680,$25K,$0.00,$0M,37 kW,0,51729
General_Service_With_Demand_Meter_(Rate_Code_25),Midrise Apartment,Minneapolis,1,0 kWh,0 kW,36661.7,191989,$0K,$5.86,$0M,0 kW,0,0
Schedule_G_-_Secondary,Secondary School,Baltimore,1,0 kWh,0 kW,0,2939660,$259K,$0.00,$0M,382 kW,0,497420
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Supermarket,San Francisco,1,27 kWh,12 kW,471299,2348400,$363K,$16.78,$0M,512 kW,88578,985350
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Primary School,Boulder,1,1 kWh,1 kW,473343,327273,$9K,$18.90,$0M,12 kW,9271,5635
General_Service_(A14),Supermarket,Duluth,1,0 kWh,0 kW,473231,1048600,$9K,$14.98,$0M,13 kW,6936,9000
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Small Office,Anaheim,1,0 kWh,0 kW,23892.9,98992.6,$22K,$9.97,$0M,32 kW,4477.5,50126.9
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Medium Office,Atlanta,1,0 kWh,0 kW,283352,519433,$0K,$15.66,$0M,0 kW,0,0
